V,T1_C2H6,T2_C2H6
1434,nan,nan
1435.5,nan,nan
1437,nan,nan
1438.5,nan,nan
1440,nan,nan
1441.5,nan,nan
1443,nan,nan
1444.5,nan,nan
1446,nan,nan
1447.5,nan,nan
1449,nan,nan
1450.5,nan,nan
1452,nan,nan
1453.5,nan,nan
1455,nan,nan
1456.5,nan,nan
1458,nan,nan
1459.5,nan,nan
1461,nan,nan
1462.5,nan,nan
1464,nan,nan
1465.5,nan,nan
1467,nan,nan
1468.5,nan,nan
1470,nan,nan
1471.5,nan,nan
1473,nan,nan
1474.5,nan,nan
1476,nan,nan
1477.5,nan,nan
1479,nan,nan
1480.5,nan,nan
1482,nan,nan
1483.5,nan,nan
1485,nan,nan
1486.5,nan,nan
1488,nan,nan
1489.5,nan,nan
1491,nan,nan
1492.5,nan,nan
1494,nan,nan
1495.5,nan,nan
1497,nan,nan
1498.5,nan,nan
1500,nan,nan
